Date,Open,High,Low,Close,Volume
"Nov 04, 2022",1520.45,1520.45,1501.15,1514,4.51M
"Nov 03, 2022",1538.75,1543.9,1521.65,1530.75,3.17M
"Nov 02, 2022",1572,1572.75,1545,1553.3,2.94M
"Nov 01, 2022",1553.05,1575,1547.1,1573,4.54M
"Oct 31, 2022",1530.25,1546.4,1530.25,1537.65,4.54M
"Oct 28, 2022",1526,1527.95,1507,1513.25,3.05M
"Oct 27, 2022",1530.8,1534.9,1512.5,1523.95,6.76M
"Oct 25, 2022",1528.1,1532.9,1521.05,1526.3,3.91M
"Oct 24, 2022",1518.5,1521.8,1511,1517.85,982.84K
"Oct 21, 2022",1500.3,1506,1491.35,1500.5,3.59M
"Oct 20, 2022",1475,1504,1474.2,1500.9,4.58M
"Oct 19, 2022",1504,1504.95,1481.3,1485.45,3.55M
"Oct 18, 2022",1510,1510.95,1497.25,1503.7,4.69M
"Oct 17, 2022",1476.9,1495,1475.5,1489.95,4.29M
"Oct 14, 2022",1485,1494,1467.25,1474.25,14.99M
"Oct 13, 2022",1431,1437.95,1415,1419.9,4.82M
"Oct 12, 2022",1437,1441.1,1413.55,1428.7,5.48M
"Oct 11, 2022",1462.65,1479.65,1420.1,1423.8,12.82M
"Oct 10, 2022",1426.35,1465,1426.35,1462.65,5.27M
"Oct 07, 2022",1446.35,1457.85,1440.15,1451.2,3.99M
"Oct 06, 2022",1445,1459.8,1444.1,1455.15,6.18M
"Oct 04, 2022",1419.7,1432.25,1414,1429.4,6.63M
"Oct 03, 2022",1412,1412,1386,1393.75,4.94M
"Sep 30, 2022",1388.95,1419.3,1376,1413.45,8.12M
"Sep 29, 2022",1404.9,1409.85,1393,1398.65,6.12M
"Sep 28, 2022",1379,1405.85,1377,1394.7,7.02M
"Sep 27, 2022",1393.45,1406.5,1378,1393.55,8.56M
"Sep 26, 2022",1360,1399.45,1355,1380.25,9.41M
"Sep 23, 2022",1367.5,1394.8,1362,1365.45,10.43M
"Sep 22, 2022",1366.35,1383.95,1360,1367.95,9.17M
"Sep 21, 2022",1379.9,1388.8,1368.4,1377.25,7.92M
"Sep 20, 2022",1407.95,1413.55,1385.1,1388.55,7.22M
"Sep 19, 2022",1392,1406,1380.6,1390.3,6.60M
"Sep 16, 2022",1425,1425,1368.35,1377.05,20.46M
"Sep 15, 2022",1475,1475.2,1429.05,1432.8,12.78M
"Sep 14, 2022",1497,1498.95,1472,1475.4,14.33M
"Sep 13, 2022",1551.9,1553,1541.3,1544.95,4.95M
"Sep 12, 2022",1525.8,1545.9,1521.15,1536.2,5.49M
"Sep 09, 2022",1488,1520,1480,1511.65,4.82M
"Sep 08, 2022",1475,1481.1,1463.6,1475.9,4.06M
"Sep 07, 2022",1440,1465.75,1438.05,1457.65,3.60M
"Sep 06, 2022",1461.3,1470,1445.45,1455.1,3.43M
"Sep 05, 2022",1451,1467,1446.35,1461.3,3.67M
"Sep 02, 2022",1478,1478,1448,1453,5.18M
"Sep 01, 2022",1460.05,1468.1,1451.05,1464.2,8.14M
"Aug 30, 2022",1473.1,1496.1,1466,1492.95,6.73M
"Aug 29, 2022",1468.55,1468.55,1450,1461.75,8.08M
"Aug 26, 2022",1535.15,1544.95,1517.45,1521.55,3.08M
"Aug 25, 2022",1548,1548.7,1513.75,1518.15,4.33M
"Aug 24, 2022",1535,1546,1531,1537.5,2.89M
"Aug 23, 2022",1548,1554.5,1533,1542.4,5.55M
"Aug 22, 2022",1586,1599,1574,1575.65,3.95M
"Aug 19, 2022",1585.3,1604.9,1585.1,1597.1,4.74M
"Aug 18, 2022",1594.1,1598.2,1574,1582.95,4.64M
"Aug 17, 2022",1596.45,1612,1585,1606.25,4.07M
"Aug 16, 2022",1609,1609,1591.1,1596.45,3.00M
"Aug 12, 2022",1613.3,1614,1590.15,1594.1,3.56M
"Aug 11, 2022",1630,1631.35,1616,1619.95,3.46M
"Aug 10, 2022",1621.2,1621.2,1588.1,1602.45,4.42M
"Aug 08, 2022",1617,1622,1596,1619.4,3.76M
"Aug 05, 2022",1608.4,1625.7,1602.3,1616.65,5.36M
"Aug 04, 2022",1587.5,1603.85,1574.95,1599.9,7.40M
"Aug 03, 2022",1549,1570,1539.9,1566.1,6.01M
"Aug 02, 2022",1546.55,1547,1528.35,1543.6,4.37M
"Aug 01, 2022",1564,1564,1537.9,1551.05,2.98M
"Jul 29, 2022",1532.8,1555.7,1528,1549.7,7.01M
"Jul 28, 2022",1496.4,1524.45,1489.85,1517.4,6.64M
"Jul 27, 2022",1451,1473,1445,1471.05,4.52M
"Jul 26, 2022",1496.65,1496.65,1445,1451.15,7.27M
"Jul 25, 2022",1480.1,1517.15,1480.1,1503.6,7.86M
"Jul 22, 2022",1534,1540,1492.15,1506.3,7.02M
"Jul 21, 2022",1517,1535.45,1503.1,1532.9,5.01M
"Jul 20, 2022",1501.25,1525.8,1500,1515.3,5.08M
"Jul 19, 2022",1471.55,1486.85,1470.1,1484.15,3.42M
"Jul 18, 2022",1450,1493.6,1448.05,1489.9,5.84M
"Jul 15, 2022",1446,1446,1410.65,1430.35,5.62M
"Jul 14, 2022",1451,1452.95,1414,1428.85,6.16M
